time,ax,ay,az,aT
1.2480,-5.7206,2.6632,-8.7863,10.817
1.2560,-6.3425,0.8975,-8.2498,10.445
1.2650,-6.4394,0.9339,-8.1335,10.416
1.2790,-5.0307,-1.9596,-5.7416,7.881
1.2850,-5.2968,-2.4935,-4.3986,7.323
1.3010,-5.3138,-2.4848,-4.4388,7.356
1.3080,-5.6851,-4.5061,-2.7678,7.764
1.3170,-6.0430,-5.2972,-2.8152,8.515
1.3260,-6.8232,-6.0174,-3.1135,9.616
1.3350,-6.7146,-6.0549,-3.2307,9.601
1.3480,-8.0232,-6.4984,-4.2205,11.154
1.3550,-7.8453,-6.5614,-4.2827,11.088
1.3670,-8.4260,-6.8104,-4.5049,11.733
1.3810,-8.7167,-6.6787,-3.1362,11.420
1.3870,-8.3625,-4.9098,1.3457,9.790
1.4130,-8.3247,-3.7514,3.0153,9.616
1.4170,-7.6542,-2.8533,3.3617,8.833
1.4200,-6.1186,-1.6472,2.8659,6.954
1.4310,-4.3035,0.6692,2.7772,5.165
1.4360,-4.1138,0.6352,2.7597,4.994
1.4460,-3.7715,3.8959,3.9905,6.732
1.4550,-3.5649,3.8660,3.9844,6.598
1.4690,-5.4858,8.3692,6.2824,11.815
1.4810,-5.7939,9.6069,7.6188,13.561
1.4860,-4.4415,10.5620,7.1547,13.508
1.5020,-1.9311,12.0563,8.4590,14.854
1.5080,-1.8201,12.0393,8.5928,14.903
1.5150,3.6946,15.7696,12.9560,20.741
1.5250,5.8173,15.0480,14.5914,21.753
1.5350,6.6844,11.6721,11.9395,17.985
1.5470,6.7218,11.6653,12.1522,18.137
1.5550,6.0173,8.8450,10.7564,15.170
1.5650,4.5131,6.7863,10.5599,13.339
1.5750,4.3043,1.8955,8.9053,10.071
1.5860,4.2340,1.9089,9.1143,10.229
1.6060,6.2554,-0.2050,8.6082,10.643
1.6080,10.3474,-4.2780,5.4407,12.449
1.6160,9.7013,-6.0380,3.7162,12.016
1.6250,8.7552,-8.0534,2.1216,12.084
1.6350,8.6006,-8.0376,2.1498,11.966
1.6450,7.6748,-11.0905,1.1176,13.533
1.6560,7.5187,-11.0813,1.0688,13.434
1.6800,5.8733,-12.6661,0.0684,13.962
1.6830,3.3078,-14.4472,-1.0728,14.860
1.7020,1.7934,-15.2235,-1.5324,15.405
1.7050,0.7489,-15.5250,-2.3057,15.713
1.7070,1.3153,-15.1385,-2.9585,15.481
1.7150,2.1003,-13.3887,-2.8230,13.843
1.7280,2.3082,-10.9263,-3.3297,11.653
1.7350,2.5126,-9.4948,-3.8607,10.553
1.7490,3.2637,-8.1214,-4.4548,9.821
1.7590,4.2899,-6.5622,-4.2936,8.939
1.7680,4.1083,-6.4697,-4.1796,8.729
1.7750,4.9857,-5.2143,-3.5188,8.027
1.7870,6.0372,-3.8837,-2.6177,7.641
1.7980,6.7197,-1.9246,-1.1878,7.090
1.8050,4.2854,1.5803,2.8929,5.407
1.8190,2.7798,3.3766,5.1224,6.736
1.8260,2.5179,5.6508,6.8693,9.244
1.8380,3.5557,7.6309,7.6347,11.365
1.8480,3.4857,7.6263,7.4440,11.213
1.8550,3.2949,10.3365,8.0535,13.511
1.8650,2.4259,12.0760,7.9283,14.648
1.8750,0.9285,12.9023,7.8278,15.120
1.8850,0.3268,12.6572,8.7177,15.372
1.9010,0.2544,12.0080,10.9108,16.227
1.9060,0.2836,11.6317,11.5890,16.422
1.9170,1.3121,11.3335,8.6032,14.289
1.9250,1.2484,11.3653,8.6186,14.318
1.9360,0.9460,9.6108,2.5291,9.983
1.9470,0.8869,9.6452,2.5818,10.024
1.9560,-0.3407,7.5854,-0.1467,7.594
1.9670,-3.5361,2.2606,-3.1700,5.260
1.9760,-3.5543,2.2708,-3.1619,5.271
1.9920,-5.4668,-1.0480,-4.1248,6.928
1.9990,-5.7973,-2.8242,-4.3730,7.792
2.0060,-5.9539,-4.0438,-4.0414,8.254
2.0160,-5.3328,-5.4118,-2.4723,7.990
2.0270,-3.9453,-6.9253,0.3679,7.979
2.0360,-3.7269,-7.6706,1.8864,8.734
2.0460,-3.6206,-7.7264,1.8134,8.723
2.0560,-7.1825,-8.9465,3.0615,11.874
2.0660,-7.0621,-9.0042,2.9801,11.825
2.0750,-8.8613,-10.3680,2.1801,13.812
2.0870,-10.8263,-10.5944,-0.0014,15.148
2.0950,-10.7467,-10.6261,-0.0041,15.113
2.1080,-9.9604,-8.8428,-1.0631,13.362
2.1220,-8.8012,-7.4290,-1.1107,11.571
2.1260,-8.1172,-5.7387,-0.7217,9.967
2.1480,-7.6199,-4.2428,0.0053,8.722
2.1500,-7.5546,-4.2632,0.0487,8.675
2.1560,-7.1258,1.4638,3.3384,8.004
2.1660,-6.9055,1.3909,3.3481,7.799
2.1750,-7.6089,5.6130,4.0662,10.292
2.1870,-5.9866,15.2687,4.7838,17.084
2.2070,-0.6945,19.1710,8.0005,20.785
2.2090,5.4271,22.4805,11.3034,25.741
2.2160,7.1870,24.4776,13.1404,28.696
2.2250,7.2102,24.4715,13.1387,28.696
2.2350,9.2581,23.5314,13.9476,28.879
2.2450,8.0356,19.8459,11.6537,24.377
2.2550,5.0442,16.3406,10.2971,19.962
2.2690,2.9003,8.7471,9.5506,13.272
2.2780,3.6766,5.9306,9.2892,11.618
2.2890,4.8061,2.6132,7.7320,9.472
2.2980,5.4554,-0.7287,5.6128,7.861
2.3050,5.5237,-0.7251,5.7723,8.022
2.3150,6.2079,-7.0402,2.6271,9.747
2.3260,6.2900,-7.0346,2.7730,9.836
2.3350,3.8300,-12.0360,4.5080,13.411
2.3450,3.8128,-12.0333,4.5058,13.403
2.3580,2.4316,-14.9514,5.6017,16.150
2.3670,2.8124,-16.3723,3.9205,17.068
2.3850,2.8526,-17.1541,1.4344,17.449
2.3880,2.6771,-17.1827,-0.6417,17.402
2.3950,2.3197,-17.1360,-1.5765,17.364
2.4060,2.0615,-17.1328,-2.7927,17.481
2.4270,1.9317,-17.1191,-3.4303,17.566
2.4290,1.6315,-17.0148,-3.4167,17.431
2.4370,2.7592,-14.3964,-4.2690,15.267
2.4480,2.6493,-11.6544,-4.0889,12.632
2.4560,2.4000,-11.5379,-4.0636,12.466
2.4660,4.6238,-6.5813,-2.4264,8.401
2.4760,4.9693,-3.9800,-1.0121,6.447
2.4860,4.7899,-3.8883,-1.0440,6.257
2.5080,4.2766,-2.0665,0.3736,4.764
2.5110,3.8198,0.1461,4.0865,5.596
2.5160,2.6741,1.0141,5.1853,5.922
2.5260,1.7356,3.9603,5.5661,7.048
2.5380,1.6248,4.0155,5.4371,6.952
2.5460,5.5308,14.1013,7.2946,16.812
2.5560,5.4222,14.1713,7.2539,16.818
2.5680,6.4685,17.7562,9.4684,21.137
2.5760,7.1215,19.3759,14.8894,25.453
2.5910,7.0512,19.4187,14.8076,25.418
2.5960,0.2204,16.2099,17.3097,23.716
2.6060,-3.7267,13.9991,13.2498,19.632
2.6160,-3.7832,14.0393,13.2050,19.642
2.6270,-5.5791,12.4157,7.8386,15.707
2.6370,-5.1292,9.9607,-1.8637,11.358
2.6470,-5.2067,10.0460,-1.6500,11.435
2.6580,-4.8793,8.6124,-4.0893,10.710
2.6700,-4.4162,4.6874,-3.4808,7.321
2.6770,-4.4669,4.7476,-3.3872,7.346
2.6930,-5.7843,2.3277,-2.0515,6.564
2.6970,-8.7394,-3.0027,0.3898,9.249
2.7060,-9.5530,-4.9680,1.8517,10.926
2.7180,-10.6367,-5.5160,2.8171,12.309
2.7270,-10.5804,-5.5654,2.8068,12.280
2.7400,-9.8154,-6.7328,1.2202,11.965
2.7740,-9.0564,-6.2215,-1.1524,11.048
2.7770,-8.4209,-6.6329,-1.7341,10.859
2.7790,-8.3603,-6.6571,-1.6183,10.809
2.7830,-9.1958,-5.8309,-3.3951,11.406
2.7990,-10.3696,-4.4381,-4.0441,11.983
2.8010,-10.5770,-3.3582,-3.6438,11.680
2.8100,-9.4026,-2.2648,-0.7740,9.702
2.8190,-8.3570,-1.3654,2.6113,8.861
2.8270,-8.1468,-1.5172,2.5558,8.672
2.8380,-6.3581,0.2172,7.2050,9.612
2.8470,-2.5692,5.3546,14.6967,15.851
2.8590,-2.4247,8.9833,15.4590,18.043
2.8700,-4.3144,10.7788,11.7641,16.528
2.8780,-5.7861,12.0802,7.4525,15.328
2.8880,-6.7725,14.4215,5.1999,16.760
2.9030,-4.1191,17.2187,7.2261,19.122
2.9070,0.9972,18.9460,10.4683,21.669
2.9180,5.3579,19.3278,13.1773,23.998
2.9290,4.5974,17.1394,15.3026,23.432
2.9380,2.8684,14.9309,16.7307,22.607
2.9470,1.7481,12.1692,19.0215,22.649
2.9580,1.8434,12.1489,19.0817,22.696
2.9700,1.9031,9.3607,19.6920,21.887
2.9780,3.3577,6.4549,17.8079,19.237
2.9910,8.2158,1.7071,8.6199,12.030
3.0010,8.1569,1.8020,8.8802,12.192
3.0070,8.1518,-3.3160,2.5187,9.154
3.0190,8.0992,-3.2241,2.7274,9.134
3.0280,6.1054,-5.2788,1.4745,8.205
3.0390,3.0106,-8.8735,3.0453,9.853
3.0500,1.7632,-10.2605,4.4894,11.338
3.0580,1.6258,-10.2637,4.3236,11.255
3.0760,-0.1061,-12.9187,6.8023,14.601
3.0790,-0.6475,-14.0110,6.7106,15.549
3.1030,0.1641,-14.3950,5.2730,15.331
3.1060,0.6701,-14.2704,2.4697,14.498
3.1100,1.0755,-14.6987,-1.3882,14.803
