time,ax,ay,az,aT
1.2260,2.0709,5.8121,5.9764,8.590
1.2370,0.9826,6.2832,5.5474,8.439
1.2470,-0.6656,6.7816,4.7909,8.330
1.2640,-2.1003,7.2481,3.9324,8.509
1.2700,-3.5910,7.6431,2.9908,8.959
1.2860,-4.3277,7.6600,2.4136,9.123
1.2870,-5.2004,7.5081,1.8641,9.321
1.2970,-6.0212,7.3176,1.6106,9.612
1.3450,-6.7334,7.1677,1.7966,9.997
1.3500,-8.3643,7.5901,2.5082,11.570
1.3530,-9.5085,8.0298,3.6622,12.973
1.3550,-9.4580,8.3562,3.9330,13.219
1.3820,-8.9212,8.4943,3.5970,12.833
1.3870,-7.9100,8.4547,2.7422,11.898
1.3880,-6.8538,8.0496,1.4017,10.665
1.3880,-6.4085,7.0404,-0.3656,9.527
1.3890,-6.4407,6.1807,-2.8627,9.374
1.3990,-6.9722,5.3308,-4.3574,9.799
1.4310,-7.3814,4.1263,-5.1608,9.907
1.4340,-7.7452,3.1822,-5.0267,9.766
1.4350,-7.3075,2.2755,-3.5292,8.428
1.4390,-6.0330,1.4103,-1.4230,6.357
1.4460,-4.5989,0.8895,0.9374,4.777
1.4570,-3.1233,0.6096,2.3845,3.976
1.4660,-0.7013,0.3408,3.7295,3.810
1.4770,1.7816,0.0707,4.3945,4.742
1.4860,5.9778,-0.1612,4.7216,7.619
1.5010,10.3162,-0.0518,4.4088,11.219
1.5140,13.5089,0.4852,3.4211,13.944
1.5420,14.0351,1.0367,2.5283,14.299
1.5440,14.2322,1.3801,0.8490,14.324
1.5470,14.2922,0.5449,-1.7483,14.409
1.5490,14.0666,-0.6943,-2.6622,14.333
1.5600,13.3069,-1.9381,-0.9912,13.484
1.5670,11.3542,-3.7256,2.7265,12.257
1.5780,9.5148,-5.2224,5.0270,11.961
1.5870,7.0946,-6.4861,6.7732,11.759
1.5970,4.9032,-7.7859,7.5907,11.928
1.6060,3.5451,-8.7472,7.6359,12.140
1.6190,2.1936,-9.2852,6.8649,11.754
1.6260,1.1858,-9.3932,5.6749,11.038
1.6380,1.1285,-9.1651,4.6232,10.327
1.6460,0.9817,-9.2378,3.4433,9.907
1.6570,0.1091,-9.4622,2.5164,9.792
1.6810,-1.3060,-9.6955,1.6179,9.916
1.6830,-2.6638,-9.8835,0.6917,10.260
1.6860,-4.2907,-10.0749,-0.6725,10.971
1.7050,-5.2692,-10.1246,-1.8682,11.566
1.7060,-6.0562,-10.1907,-3.8742,12.472
1.7520,-6.4281,-10.1781,-6.0230,13.461
1.7540,-6.1134,-9.8734,-8.3458,14.301
1.7550,-5.3235,-9.1693,-10.1571,14.683
1.7560,-5.0633,-7.9173,-10.5200,14.106
1.7660,-4.7737,-6.8882,-9.9789,13.031
1.7740,-4.4055,-5.8451,-7.8513,10.734
1.7900,-3.8628,-5.1828,-5.7636,8.660
1.7940,-3.5443,-4.5089,-4.1519,7.080
1.8040,-3.1384,-3.3711,-3.1599,5.586
1.8120,-1.6867,-1.4178,-1.5887,2.716
1.8170,-0.0110,0.1994,-0.0698,0.212
1.8300,2.1735,2.0763,1.7531,3.480
1.8380,4.3551,4.0335,3.1428,6.717
1.8490,6.5916,6.0414,3.6049,9.641
1.8590,9.2692,8.2950,3.8938,13.034
1.8660,11.1255,9.2134,4.0466,15.001
1.8770,9.6263,8.2071,4.0872,13.294
1.8870,6.8327,7.3769,4.9610,11.212
1.9040,3.9027,6.8302,5.9928,9.889
1.9100,1.0170,6.2460,6.7185,9.230
1.9420,-1.0310,5.7844,6.8869,9.053
1.9430,-2.2390,5.7003,6.6389,9.032
1.9440,-3.1865,5.7142,6.2140,9.023
1.9480,-4.4392,5.7938,5.7316,9.280
1.9560,-5.7738,5.9091,5.0032,9.658
1.9680,-6.9599,6.0378,4.1552,10.107
1.9820,-8.0216,5.8567,3.4182,10.504
1.9870,-8.3921,5.5945,3.0982,10.551
1.9980,-8.5495,4.9739,2.7228,10.259
2.0060,-8.6674,4.3600,2.1353,9.934
2.0170,-8.5818,3.6844,0.9872,9.391
2.0250,-8.6405,3.1296,-0.3670,9.197
2.0470,-8.5833,2.8211,-2.7552,9.446
2.0480,-8.2478,2.7242,-4.5314,9.797
2.0550,-7.6822,2.6346,-6.0540,10.130
2.0660,-6.9174,3.0574,-6.7855,10.161
2.0750,-5.8717,3.5663,-6.4355,9.413
2.0860,-4.8473,3.3953,-4.4201,7.387
2.1050,-3.2715,3.1418,-1.7589,4.865
2.1070,-2.4135,3.0261,-0.2396,3.878
2.1320,-0.3931,2.6606,1.7562,3.212
2.1350,2.7027,2.9495,3.9340,5.611
2.1380,6.1443,2.9046,6.1076,9.137
2.1460,9.7648,2.8227,7.9979,12.934
2.1580,12.3888,3.4301,7.9253,15.102
2.1720,13.2620,3.5852,6.6022,15.242
2.1770,13.4363,3.5280,3.7323,14.384
2.1850,13.0671,2.8075,0.1498,13.366
2.1980,12.6761,1.4594,-1.2213,12.818
2.2050,11.6902,-0.2830,-0.0129,11.694
2.2210,9.6779,-2.5519,2.7284,10.374
2.2250,7.6867,-4.5904,4.5699,10.052
2.2600,4.0601,-6.8271,6.0800,10.003
2.2610,1.2004,-9.0642,6.8213,11.408
2.2620,-0.8717,-11.3428,7.1859,13.456
2.2710,-1.3838,-12.3338,7.1348,14.316
2.2980,-1.7108,-11.8107,6.5256,13.602
2.3020,-2.3482,-11.4102,5.4022,12.841
2.3060,-3.2406,-11.4900,2.3146,12.161
2.3090,-4.4746,-11.7609,-0.9367,12.618
2.3180,-5.4581,-11.7617,-4.5333,13.736
2.3270,-5.8350,-11.4885,-7.3314,14.825
2.3380,-5.9908,-10.6025,-10.1936,15.881
2.3450,-5.7042,-9.7887,-11.1139,15.871
2.3600,-5.3002,-9.1929,-9.7216,14.391
2.3830,-5.2978,-8.4982,-7.5504,12.542
2.3840,-4.8858,-7.8107,-5.7022,10.835
2.3900,-4.0431,-7.1623,-3.7323,9.032
2.4160,-3.8667,-5.8923,-2.1455,7.367
2.4190,-3.6169,-4.6740,-1.2167,6.034
2.4190,-1.6728,-2.4346,-0.2545,2.965
2.4260,2.0759,0.5820,1.0207,2.385
2.4480,5.7385,2.3368,2.1763,6.567
2.4510,8.5315,3.3950,3.2746,9.749
2.4580,9.4051,5.3802,4.3268,11.667
2.4690,8.8640,7.2879,4.8791,12.470
2.4780,7.9469,9.1244,5.6218,13.342
2.4870,8.2389,9.7169,7.1953,14.631
2.4970,8.3173,9.6497,9.3474,15.801
2.5060,7.0893,9.6756,10.6938,16.070
2.5360,4.9058,9.8049,11.2625,15.718
